Id Tiny;Ref. Pai;Código;Embalagem;Quantidade embalagem;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951036;;2936-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951043;;2934-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891951002;;2931-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891950976;;2932-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891950942;;293X-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2935-4;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;296;EMB-012;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2913;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2917;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2916;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2914;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2918;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2919;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2911;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2910;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2912;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;2915;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953715;;2913-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953612;;2917-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953628;;2916-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953552;;291X-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953679;;2914-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;291;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-;;291-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953722;;2918-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953700;;2919-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953684;;2911-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
891953645;;2910-2;EMB-014;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
